2018-03-01T19:35:36Z, 41, NTP, Adjust, -3
2018-03-02T00:09:06Z, 41, NTP, Adjust, 42
2018-03-02T04:41:47Z, 41, NTP, Adjust, -6
2018-03-02T11:11:57Z, 40, NTP, Adjust, -36
2018-03-03T00:45:21Z, 48, NTP, Adjust, 3
2018-03-03T01:19:25Z, 48, NTP, Adjust, 12
2018-03-03T02:32:39Z, 48, NTP, Adjust, 3
2018-03-03T03:41:03Z, 47, NTP, Adjust, 12
2018-03-03T09:22:23Z, 46, NTP, Adjust, 12
2018-03-03T11:33:49Z, 46, NTP, Adjust, 3
2018-03-03T13:55:23Z, 46, NTP, Adjust, -6
2018-03-03T20:45:50Z, 47, NTP, Adjust, 84
2018-03-04T01:18:00Z, 47, NTP, Adjust, -3
2018-03-04T05:52:04Z, 47, NTP, Adjust, -197
2018-03-04T06:38:02Z, 46, NWL, Measmt, 57
2018-03-04T06:38:39Z, 46, NWL, Adjust, 56
2018-03-04T12:35:57Z, 46, NTP, Adjust, 21
2018-03-04T19:59:38Z, 47, NTP, Adjust, -12
2018-03-05T00:32:38Z, 48, NTP, Adjust, -3
2018-03-05T09:09:53Z, 46, NTP, Adjust, 33
2018-03-05T14:11:50Z, 45, NTP, Adjust, 3
2018-03-05T18:45:05Z, 46, NTP, Adjust, -18
2018-03-06T01:00:22Z, 47, NTP, Adjust, 3
2018-03-06T05:33:28Z, 47, NTP, Adjust, 3
2018-03-06T13:01:32Z, 46, NTP, Adjust, -24
2018-03-06T21:34:10Z, 45, NTP, Adjust, 9
2018-03-07T04:18:50Z, 46, NTP, Adjust, -3
2018-03-07T11:13:32Z, 46, NTP, Adjust, -21
2018-03-07T15:46:24Z, 46, NTP, Adjust, 3
2018-03-08T03:04:30Z, 47, NTP, Adjust, -36
2018-03-08T06:48:56Z, 46, NWL, Measmt, 81
2018-03-08T06:49:13Z, 46, NWL, Adjust, 78
2018-03-08T07:37:15Z, 46, NTP, Adjust, 6
2018-03-08T19:04:56Z, 45, NTP, Adjust, -15
2018-03-09T09:17:50Z, 45, NTP, Adjust, -39
2018-03-09T15:29:01Z, 45, NTP, Adjust, 27
2018-03-09T17:50:21Z, 45, NTP, Adjust, 18
2018-03-09T22:23:16Z, 46, NTP, Adjust, 3
2018-03-10T03:30:44Z, 47, NTP, Adjust, -125
2018-03-10T06:26:46Z, 46, NWL, Measmt, 108
2018-03-10T06:27:03Z, 46, NWL, Adjust, 105
2018-03-10T16:36:02Z, 47, NTP, Adjust, 45
2018-03-10T21:08:47Z, 48, NTP, Adjust, 15
2018-03-11T01:41:45Z, 48, NTP, Adjust, -3
2018-03-11T08:27:20Z, 47, NTP, Adjust, -117
2018-03-11T15:20:59Z, 47, NTP, Adjust, 3
2018-03-11T17:33:09Z, 47, NTP, Adjust, 66
2018-03-12T00:27:13Z, 47, NTP, Adjust, -9
2018-03-12T05:29:28Z, 47, NTP, Adjust, -3
2018-03-12T10:03:11Z, 47, NTP, Adjust, 60
2018-03-12T16:17:51Z, 46, NTP, Adjust, -6
2018-03-12T23:12:32Z, 45, NTP, Adjust, 3
2018-03-13T03:45:36Z, 46, NTP, Adjust, -3
2018-03-13T08:18:40Z, 45, NTP, Adjust, -3
2018-03-13T12:51:51Z, 44, NTP, Adjust, -12
2018-03-13T17:54:04Z, 45, NTP, Adjust, 3
2018-03-13T22:27:08Z, 46, NTP, Adjust, -3
2018-03-14T07:04:41Z, 44, NTP, Adjust, 63
2018-03-14T11:37:04Z, 46, NTP, Adjust, -3
2018-03-14T16:11:08Z, 46, NTP, Adjust, -109
2018-03-14T20:43:17Z, 46, NTP, Adjust, -12
2018-03-15T01:16:25Z, 47, NTP, Adjust, 15
2018-03-15T05:49:23Z, 46, NTP, Adjust, 3
2018-03-15T10:23:04Z, 44, NTP, Adjust, 57
