2013-11-07T08:36:14Z, 44, NWL, Measmt, -78
2013-12-21T06:20:14Z, 40, NWL, Measmt, -59
2013-12-21T06:20:19Z, 40, NWL, Adjust, -55
2013-12-22T12:33:22Z, 39, NWL, Measmt, -28
2013-12-22T13:30:06Z, 38, NWL, Measmt, 49
2013-12-23T06:43:25Z, 41, NWL, Measmt, 52
2013-12-23T06:43:54Z, 41, NWL, Adjust, 55
2014-01-06T05:56:12Z, 42, NWL, Measmt, -51
2014-01-06T05:56:17Z, 42, NWL, Adjust, -47
2014-01-11T08:11:16Z, 43, NWL, Measmt, 54
2014-01-11T08:11:23Z, 43, NWL, Adjust, 51
2014-01-16T06:28:11Z, 43, NWL, Measmt, -45
2014-02-28T08:51:56Z, 44, NWL, Measmt, -73
2014-02-28T08:52:01Z, 44, NWL, Adjust, -70
2014-03-01T07:31:13Z, 44, NWL, Measmt, 60
2014-03-01T07:31:18Z, 44, NWL, Adjust, 59
2014-03-22T06:43:15Z, 43, NWL, Measmt, -14
2019-09-02T07:20:25Z, 44, NTP, Adjust, 4
2019-09-02T08:28:33Z, 42, NTP, Adjust, 3
2019-09-02T10:11:01Z, 42, NTP, Adjust, 6
2019-09-02T21:37:21Z, 51, NTP, Adjust, 4
2019-09-02T22:45:28Z, 50, NTP, Adjust, -3
2019-09-02T23:53:46Z, 51, NTP, Adjust, 3
2019-09-03T01:36:14Z, 50, NTP, Adjust, 3
2019-09-03T02:44:31Z, 50, NTP, Adjust, 3
2019-09-03T03:52:46Z, 51, NTP, Adjust, 3
2019-09-03T07:17:37Z, 51, NTP, Adjust, 6
2019-09-03T09:34:06Z, 51, NTP, Adjust, 3
2019-09-03T11:50:41Z, 51, NTP, Adjust, 9
2019-09-03T18:40:37Z, 49, NTP, Adjust, 36
2019-09-03T23:13:30Z, 50, NTP, Adjust, -18
2019-09-04T03:46:33Z, 50, NTP, Adjust, -15
2019-09-04T08:19:53Z, 51, NTP, Adjust, 36
2019-09-04T12:57:35Z, 51, NTP, Adjust, 3
2019-09-04T17:25:41Z, 51, NTP, Adjust, -3
2019-09-04T21:58:57Z, 51, NTP, Adjust, 18
2019-09-05T02:32:01Z, 50, NTP, Adjust, -15
2019-09-05T07:05:01Z, 51, NTP, Adjust, -9
2019-09-05T11:38:35Z, 51, NTP, Adjust, 54
2019-09-05T16:16:07Z, 53, NTP, Adjust, -9
2019-09-05T20:44:28Z, 49, NTP, Adjust, -33
2019-09-06T01:17:24Z, 50, NTP, Adjust, 18
2019-09-06T05:50:22Z, 51, NTP, Adjust, 6
2019-09-06T10:28:38Z, 51, NTP, Adjust, -36
2019-09-06T15:01:44Z, 53, NTP, Adjust, 3
2019-09-06T19:34:28Z, 51, NTP, Adjust, -3
2019-09-07T00:02:41Z, 49, NTP, Adjust, -12
2019-09-07T04:36:01Z, 50, NTP, Adjust, 36
2019-09-07T09:13:46Z, 50, NTP, Adjust, -9
2019-09-07T13:41:50Z, 52, NTP, Adjust, -6
2019-09-07T18:15:15Z, 50, NTP, Adjust, 36
2019-09-07T22:47:56Z, 49, NTP, Adjust, -3
2019-09-08T03:21:40Z, 51, NTP, Adjust, -63
2019-09-08T07:54:06Z, 50, NTP, Adjust, -6
2019-09-08T12:33:08Z, 50, NTP, Adjust, 60
2019-09-08T17:05:17Z, 51, NTP, Adjust, -3
2019-09-08T21:33:26Z, 50, NTP, Adjust, -9
2019-09-09T02:06:27Z, 50, NTP, Adjust, 3
2019-09-09T06:39:43Z, 51, NTP, Adjust, 18
2019-09-09T11:17:35Z, 50, NTP, Adjust, -3
2019-09-09T15:45:43Z, 52, NTP, Adjust, -3
2019-09-10T00:51:55Z, 49, NTP, Adjust, 6
2019-09-10T05:29:52Z, 51, NTP, Adjust, -3
2019-09-10T19:04:12Z, 50, NTP, Adjust, 3
2019-09-11T07:15:35Z, 50, NTP, Adjust, -3
2019-09-11T09:38:21Z, 50, NTP, Adjust, 3
2019-09-11T12:56:57Z, 51, NTP, Adjust, 3
2019-09-11T17:00:12Z, 52, NTP, Adjust, -3
2019-09-12T06:01:12Z, 50, NTP, Adjust, -21
2019-09-13T04:46:29Z, 51, NTP, Adjust, 9
2019-09-13T13:53:11Z, 52, NTP, Adjust, -57
2019-09-13T22:59:19Z, 49, NTP, Adjust, 54
2019-09-15T02:23:48Z, 51, NTP, Adjust, -39
2019-09-15T06:50:17Z, 51, NTP, Adjust, -3
2019-09-15T11:24:09Z, 50, NTP, Adjust, 75
2019-09-16T05:42:18Z, 51, NTP, Adjust, -45
2019-09-16T10:08:53Z, 50, NTP, Adjust, -12
2019-09-16T14:41:59Z, 52, NTP, Adjust, -15
2019-09-16T19:15:20Z, 50, NTP, Adjust, 39
2019-09-16T23:54:10Z, 50, NTP, Adjust, 3
2019-09-17T04:28:06Z, 50, NTP, Adjust, -81
2019-09-17T18:06:35Z, 50, NTP, Adjust, 15
2019-09-17T22:40:06Z, 49, NTP, Adjust, 54
2019-09-18T03:12:48Z, 51, NTP, Adjust, -21
2019-09-18T07:45:42Z, 50, NTP, Adjust, -3
2019-09-18T16:51:57Z, 51, NTP, Adjust, 15
2019-09-18T21:25:01Z, 49, NTP, Adjust, -12
2019-09-19T01:57:59Z, 51, NTP, Adjust, 3
2019-09-19T06:31:24Z, 50, NTP, Adjust, -33
2019-09-19T10:57:59Z, 50, NTP, Adjust, 6
2019-09-19T15:31:09Z, 53, NTP, Adjust, 12
2019-09-20T14:16:33Z, 51, NTP, Adjust, 12
2019-09-20T18:55:45Z, 50, NTP, Adjust, -12
2019-09-20T23:28:53Z, 50, NTP, Adjust, 18
2019-09-21T13:08:58Z, 50, NTP, Adjust, -170
2019-09-21T17:41:03Z, 50, NTP, Adjust, 3
2019-09-21T22:14:40Z, 50, NTP, Adjust, 51
2019-09-22T02:47:26Z, 50, NTP, Adjust, 24
2019-09-22T07:20:26Z, 50, NTP, Adjust, 15
2019-09-22T11:53:40Z, 49, NTP, Adjust, 27
2019-09-22T16:26:31Z, 52, NTP, Adjust, -6
2019-09-22T20:59:36Z, 50, NTP, Adjust, 6
2019-09-23T01:32:40Z, 51, NTP, Adjust, 3
2019-09-23T05:59:39Z, 50, NTP, Adjust, -12
2019-09-23T10:33:01Z, 49, NTP, Adjust, 39
2019-09-23T15:11:57Z, 52, NTP, Adjust, -6
2019-09-23T19:45:00Z, 50, NTP, Adjust, 3
2019-09-24T00:18:16Z, 50, NTP, Adjust, -18
2019-09-24T04:44:57Z, 50, NTP, Adjust, -3
2019-09-24T09:18:07Z, 49, NTP, Adjust, 9
2019-09-24T13:51:11Z, 49, NTP, Adjust, 9
2019-09-24T18:24:10Z, 50, NTP, Adjust, -3
2019-09-24T22:57:18Z, 51, NTP, Adjust, -6
2019-09-25T03:30:24Z, 51, NTP, Adjust, -9
2019-09-25T08:03:26Z, 50, NTP, Adjust, 3
2019-09-25T12:36:37Z, 50, NTP, Adjust, 12
2019-09-25T17:09:36Z, 51, NTP, Adjust, -3
2019-09-25T21:42:48Z, 50, NTP, Adjust, -15
2019-09-26T02:15:45Z, 50, NTP, Adjust, -3
2019-09-26T06:49:01Z, 51, NTP, Adjust, 21
2019-09-26T11:21:58Z, 51, NTP, Adjust, 9
2019-09-26T15:54:59Z, 52, NTP, Adjust, 6
2019-09-26T20:28:01Z, 49, NTP, Adjust, -3
2019-09-27T01:39:38Z, 50, NTP, Adjust, -15
2019-09-27T06:12:33Z, 51, NTP, Adjust, 3
2019-09-27T14:41:15Z, 51, NTP, Adjust, -87
2019-09-27T19:13:23Z, 51, NTP, Adjust, -3
2019-09-27T23:47:26Z, 50, NTP, Adjust, 197
2019-09-28T04:25:49Z, 51, NTP, Adjust, -3
2019-09-28T08:59:01Z, 50, NTP, Adjust, -15
2019-09-28T13:31:58Z, 50, NTP, Adjust, -3
2019-09-28T17:58:46Z, 51, NTP, Adjust, -6
2019-09-28T22:32:05Z, 50, NTP, Adjust, -30
2019-09-29T03:04:59Z, 50, NTP, Adjust, -12
2019-09-29T07:37:59Z, 50, NTP, Adjust, 3
2019-09-29T12:11:21Z, 50, NTP, Adjust, -30
2019-09-29T16:44:07Z, 52, NTP, Adjust, 3
2019-09-29T21:17:26Z, 49, NTP, Adjust, 27
2019-09-30T01:56:43Z, 51, NTP, Adjust, -18
2019-09-30T11:02:42Z, 50, NTP, Adjust, -3
2019-09-30T15:29:39Z, 51, NTP, Adjust, 21
2019-09-30T20:02:34Z, 50, NTP, Adjust, -6
2019-10-01T00:35:47Z, 50, NTP, Adjust, -21
2019-10-01T05:08:46Z, 50, NTP, Adjust, 15
2019-10-01T09:41:42Z, 50, NTP, Adjust, 3
2019-10-01T14:14:47Z, 52, NTP, Adjust, -3
2019-10-01T18:47:51Z, 50, NTP, Adjust, -3
2019-10-02T03:54:00Z, 50, NTP, Adjust, -3
2019-10-02T08:27:13Z, 50, NTP, Adjust, 15
2019-10-02T13:07:03Z, 50, NTP, Adjust, -45
2019-10-02T17:39:38Z, 51, NTP, Adjust, 3
2019-10-02T22:12:43Z, 50, NTP, Adjust, 6
2019-10-03T02:39:37Z, 51, NTP, Adjust, 27
2019-10-03T07:12:26Z, 50, NTP, Adjust, 3
2019-10-03T11:45:47Z, 49, NTP, Adjust, -27
2019-10-03T16:18:40Z, 52, NTP, Adjust, -12
2019-10-03T20:51:55Z, 49, NTP, Adjust, 30
2019-10-04T01:24:48Z, 49, NTP, Adjust, 15
2019-10-04T06:04:20Z, 50, NTP, Adjust, -15
2019-10-04T10:37:18Z, 49, NTP, Adjust, -3
2019-10-04T15:10:59Z, 51, NTP, Adjust, 57
2019-10-04T19:43:28Z, 50, NTP, Adjust, -3
2019-10-05T00:16:38Z, 50, NTP, Adjust, -12
2019-10-05T04:49:36Z, 50, NTP, Adjust, 3
2019-10-05T09:16:09Z, 49, NTP, Adjust, -3
2019-10-05T13:49:31Z, 51, NTP, Adjust, -30
2019-10-05T18:22:19Z, 51, NTP, Adjust, -3
2019-10-05T22:55:26Z, 51, NTP, Adjust, 6
2019-10-06T03:28:27Z, 51, NTP, Adjust, 3
2019-10-06T08:01:36Z, 50, NTP, Adjust, -12
2019-10-06T12:34:53Z, 50, NTP, Adjust, -33
2019-10-06T21:41:09Z, 48, NTP, Adjust, 45
2019-10-07T02:20:17Z, 51, NTP, Adjust, -3
2019-10-07T06:53:21Z, 50, NTP, Adjust, -3
2019-10-07T11:26:41Z, 50, NTP, Adjust, 24
2019-10-07T15:52:55Z, 51, NTP, Adjust, -3
2019-10-08T07:33:01Z, 42, NTP, Adjust, -4
2019-10-08T08:41:07Z, 41, NTP, Adjust, -3
2019-10-08T09:49:23Z, 41, NTP, Adjust, -3
2019-10-08T13:14:09Z, 41, NTP, Adjust, -3
